id,name,date,rating,studio
1001527,La Chimera,2023,4.05,RAI Cinema
1003655,Io Capitano,2023,3.83,RAI Cinema
1005612,Everybody Knows,2018,3.35,RAI Cinema
1005661,Martin Eden,2019,3.77,RAI Cinema
1006735,France,2021,3.24,RAI Cinema
1007465,A Brighter Tomorrow,2023,3.48,RAI Cinema
1007749,Pinocchio,2019,2.85,RAI Cinema
1008380,The Traitor,2019,3.59,RAI Cinema
1008529,Freaks Out,2021,3.56,RAI Cinema
1009647,Siberia,2020,3.06,RAI Cinema
1009747,Kidnapped,2023,3.51,RAI Cinema
1010570,They Call Me Jeeg,2015,3.41,RAI Cinema
1010657,Il Buco,2021,3.64,RAI Cinema
1011377,Bad Tales,2020,3.3,RAI Cinema
1011681,Mixed by Erry,2023,3.53,RAI Cinema
1011693,Nowhere Special,2020,3.84,RAI Cinema
1012141,Fireworks,2023,3.77,RAI Cinema
1012492,Don't Be Bad,2015,3.75,RAI Cinema
1013011,"Onoda: 10,000 Nights in the Jungle",2021,3.77,RAI Cinema
1014084,Three Floors,2021,3.14,RAI Cinema
1014283,To Chiara,2021,3.47,RAI Cinema
1014356,Like Crazy,2016,3.61,RAI Cinema
1014697,I Can Quit Whenever I Want,2014,3.49,RAI Cinema
1014791,The Tale of King Crab,2021,3.59,RAI Cinema
1016456,18 Presents,2020,3.33,RAI Cinema
1016926,Finally Dawn,2023,2.96,RAI Cinema
1018932,The Leisure Seeker,2017,3.18,RAI Cinema
1019123,The First King,2019,3.3,RAI Cinema
1019263,Leopardi,2014,3.46,RAI Cinema
1020262,Ricordi?,2018,3.66,RAI Cinema
1020349,Lord of the Ants,2022,3.31,RAI Cinema
1020363,The Macaluso Sisters,2020,3.39,RAI Cinema
1020525,Strangeness,2022,3.34,RAI Cinema
1021092,I Can Quit Whenever I Want 2: Masterclass,2017,3.48,RAI Cinema
1021978,Small Body,2021,3.57,RAI Cinema
1022133,Gloria!,2024,3.39,RAI Cinema
1022252,Euphoria,2018,3.7,RAI Cinema
1022406,"Nico, 1988",2017,3.3,RAI Cinema
1022960,I Can Quit Whenever I Want 3: Ad Honorem,2017,3.44,RAI Cinema
1023326,The King of Laughter,2021,3.46,RAI Cinema
1023587,The Inner Cage,2021,3.53,RAI Cinema
1024988,The Commander,2023,3.18,RAI Cinema
1025382,The Hummingbird,2022,3.26,RAI Cinema
1025585,Marx Can Wait,2021,3.6,RAI Cinema
1025592,The Ruthless,2019,2.94,RAI Cinema
1026307,The Best Years,2020,3.13,RAI Cinema
1026314,Another End,2024,3.09,RAI Cinema
1027371,Atlantide,2021,3.22,RAI Cinema
1027747,Lost and Beautiful,2015,3.56,RAI Cinema
1028555,There's No Place Like Home,2018,2.96,RAI Cinema
1028907,Sin,2019,3.56,RAI Cinema
1030458,Blood of My Blood,2015,3.32,RAI Cinema
1031291,Game of Love,2022,1.5,RAI Cinema
1031293,The Beautiful Summer,2023,2.97,RAI Cinema
1031622,Palazzina LAF,2023,3.47,RAI Cinema
1031728,Hammamet,2020,3.04,RAI Cinema
1032836,Marilyn's Eyes,2021,3.26,RAI Cinema
1034191,Flowing,2022,3.21,RAI Cinema
1034364,The End?,2017,2.62,RAI Cinema
1034657,Diabolik - Ginko Attacks,2022,2.81,RAI Cinema
1035563,The Best Century of My Life,2023,3.17,RAI Cinema
1036538,Put Grandma in the Freezer,2018,3.08,RAI Cinema
1036723,Do You See Me?,2014,3.12,RAI Cinema
1037064,O Senhor Diabo,2019,3.08,RAI Cinema
1037246,Patagonia,2023,3.4,RAI Cinema
1037531,Summertime,2016,3.05,RAI Cinema
1037861,Lubo,2023,3.24,RAI Cinema
1038181,An Endless Sunday,2023,3.13,RAI Cinema
1038387,5 Is the Perfect Number,2019,3.13,RAI Cinema
1038656,Capri-Revolution,2018,3.26,RAI Cinema
1038672,Magical Nights,2018,3.08,RAI Cinema
1039356,Rainbow: A Private Affair,2017,3.13,RAI Cinema
1039703,Leonora addio,2022,3.21,RAI Cinema
1039859,Greenery Will Bloom Again,2014,3.57,RAI Cinema
1040680,Dante,2022,2.78,RAI Cinema
1041125,Love and Bullets,2017,3.31,RAI Cinema
1042217,My Name Is Francesco Totti,2020,3.46,RAI Cinema
1042561,At War for Love,2016,3.34,RAI Cinema
1042816,Burning Hearts,2022,3.17,RAI Cinema
1044552,An Italian Name,2015,3.22,RAI Cinema
1045309,Chiara,2022,2.99,RAI Cinema
1045899,All You Need is Crime,2019,3.04,RAI Cinema
1045979,Settembre,2022,3.4,RAI Cinema
1047428,Umberto Eco: A Library of the World,2023,3.45,RAI Cinema
1048076,The Legend of the Christmas Witch,2018,2.74,RAI Cinema
1048472,Volare,2019,3.21,RAI Cinema
1048599,Diabolik - Who Are You?,2023,3.04,RAI Cinema
1048909,The Summer House,2018,2.93,RAI Cinema
1049223,Pure Hearts,2017,3.33,RAI Cinema
1049506,American Night,2021,2.69,RAI Cinema
1050953,Ogni maledetto Natale,2014,3.01,RAI Cinema
1051144,Casanova's Return,2023,3.13,RAI Cinema
1051461,Here Come the Teachers,2018,2.6,RAI Cinema
1052663,My Summer with the Shark,2023,3.15,RAI Cinema
1052951,Ordinary Happiness,2019,3.15,RAI Cinema
1053177,Marcel!,2022,3.14,RAI Cinema
1053640,Mi fanno male i capelli,2023,3.11,RAI Cinema
1054653,The Dinner,2014,3.23,RAI Cinema
1055114,The Mayor of Rione Sanità,2019,3.32,RAI Cinema
1055731,Forgive Us Our Debts,2018,3.08,RAI Cinema
1056465,Mia,2023,3.23,RAI Cinema
1056610,Ignorance Is Bliss,2017,2.93,RAI Cinema
1056656,Io sono Tempesta,2018,3.06,RAI Cinema
1057186,Felicità,2023,3.32,RAI Cinema
1057710,El Paraíso,2023,3.4,RAI Cinema
1057882,The Shadow of the Day,2022,3.17,RAI Cinema
1058014,Oceans Are the Real Continents,2023,3.51,RAI Cinema
1058275,Human Voice,2014,3.33,RAI Cinema
1058337,Delta,2022,3.12,RAI Cinema
1058362,Princess,2022,3.24,RAI Cinema
1058713,Un altro ferragosto,2024,3.25,RAI Cinema
1058724,The Fabulous Ones,2022,3.52,RAI Cinema
1059044,Mercy,2023,3.47,RAI Cinema
1059364,We Accept Miracles,2015,2.83,RAI Cinema
1061451,Lucia's Grace,2018,3.12,RAI Cinema
1061985,Golden Men,2019,3.27,RAI Cinema
1061999,Swing Ride,2022,3.09,RAI Cinema
1062412,The Girl From Tomorrow,2022,3.42,RAI Cinema
1063935,Addio fottuti musi verdi,2017,2.96,RAI Cinema
1066059,I Told You So,2023,3.08,RAI Cinema
1066182,Like Sheep Among Wolves,2023,3.3,RAI Cinema
1067691,Little Tito and the Aliens,2017,3.29,RAI Cinema
1069385,Mimì – Prince of Darkness,2023,3.21,RAI Cinema
1070497,Ever Been to the Moon?,2015,2.95,RAI Cinema
1073117,Couch Potatoes,2017,2.91,RAI Cinema
1073193,Something New,2016,3.02,RAI Cinema
1074082,I Fratelli De Filippo,2021,3.4,RAI Cinema
1075436,The Last Will Be the Last,2015,3.29,RAI Cinema
1077744,Il colore nascosto delle cose,2017,3.22,RAI Cinema
1079270,Loving Only You,2015,2.87,RAI Cinema
1079309,Brotherhood,2021,3.35,RAI Cinema
1079458,Hypersleep,2022,3.03,RAI Cinema
1079510,Torno indietro e cambio vita,2015,2.86,RAI Cinema
1079855,Ritorno al crimine,2021,2.96,RAI Cinema
1080037,Gym Class,2023,3.06,RAI Cinema
1080075,It's All About Karma,2017,3.03,RAI Cinema
1082802,I pionieri,2022,3.4,RAI Cinema
1082806,Modalità aereo,2019,2.84,RAI Cinema
1083141,Il sesso degli angeli,2022,2.73,RAI Cinema
1083192,Per tutta la vita,2021,3.03,RAI Cinema
1085243,The Boat,2022,2.78,RAI Cinema
1088623,Bassifondi,2022,3.39,RAI Cinema
1088627,Latin Lover,2015,3.24,RAI Cinema
1089798,The Peacock’s Paradise,2021,3.02,RAI Cinema
1090088,Zamora,2024,3.29,RAI Cinema
1090209,La guerra del Tiburtino III,2023,3.12,RAI Cinema
1090280,The Rossellinis,2020,3.34,RAI Cinema
1090317,Il pataffio,2022,3.06,RAI Cinema
1091127,A Breath of Fresh Air,2022,3.05,RAI Cinema
1091935,Ugly Nasty People,2017,3.03,RAI Cinema
1093191,The Angel in the Wall,2021,3.4,RAI Cinema
1093441,Welcome Venice,2021,3.42,RAI Cinema
1093726,Vivere,2019,3.03,RAI Cinema
1093840,Ti ricordi di me?,2014,3.19,RAI Cinema
1095761,C’era una volta il crimine,2022,2.94,RAI Cinema
1096132,There's no religion anymore,2016,2.84,RAI Cinema
1098078,It Happens in the Best of Families,2024,2.69,RAI Cinema
1098713,Io e Spotty,2022,3.01,RAI Cinema
1100258,It Looks Like Paris,2024,3.01,RAI Cinema
1100570,Children of the Night,2016,3.12,RAI Cinema
1100686,Il professor Cenerentolo,2015,2.72,RAI Cinema
1101028,Hotel Gagarin,2018,3.15,RAI Cinema
1104160,As Needed,2018,3.23,RAI Cinema
1104838,The Prince of Rome,2022,3.07,RAI Cinema
1105887,Christmas Dinner,2016,2.78,RAI Cinema
1106852,Volare,2023,3,RAI Cinema
1107280,Ride,2018,3.29,RAI Cinema
1114159,Copperman,2019,3.23,RAI Cinema
1114533,Not for the Young,2017,2.94,RAI Cinema
1115236,Contromano,2018,3.02,RAI Cinema
1115725,"Sun, Heart, Love",2016,3.3,RAI Cinema
1118093,Reckless,2018,3.05,RAI Cinema
1123708,A Whole New Life,2019,2.88,RAI Cinema
1124074,Tramite amicizia,2022,2.77,RAI Cinema
1125790,Quasi orfano,2022,2.94,RAI Cinema
1128989,Il regno,2020,2.98,RAI Cinema
1132067,Dobbiamo parlare,2015,3.25,RAI Cinema
1132278,Il grande spirito,2019,3.3,RAI Cinema
1132280,Chi m'ha visto,2017,3.05,RAI Cinema
1133851,Il giorno più bello,2022,2.85,RAI Cinema
1134069,Al posto tuo,2016,2.89,RAI Cinema
1135483,A Fairy Tale Wedding,2014,2.85,RAI Cinema
